"Word","Length","SUBTLWF","Ortho_N","Concreteness_Rating","Semantic_Neighbors","Semantic_Diversity","Age_Of_Acquisition","Pron","NSyll","I_NMG_Mean_RT","I_NMG_Zscore","I_NMG_Mean_Accuracy"
"oars","4","1.080","13","#","#","#","#","""Orz","1","#","#","#"
"oast","4","0.020","11","#","#","#","#","""ost","1","#","#","#"
"oasts","5","#","7","#","#","#","#","""osts","1","#","#","#"
"OCH","3","0.350","2","#","#","#","#","""Ox","1","#","#","#"
"OCT","3","0.040","6","#","#","#","#","""Okt","1","#","#","#"
"odes","4","0.020","7","#","#","#","#","""odz","1","#","#","#"
"ohms","4","0.040","0","#","#","#","#","""omz","1","#","#","#"
"oinked","6","#","4","#","#","#","#","""OINkt","1","#","#","#"
"oinks","5","0.040","9","#","#","#","#","""OINks","1","#","#","#"
"OMSK","4","#","0","#","#","#","#","""Omsk","1","#","#","#"
"op","2","3.690","13","#","#","#","#","""Ap","1","#","#","#"
"ops","3","4.200","3","#","#","#","#","""Aps","1","#","#","#"
"orbs","4","0.410","1","#","#","#","#","""Orbz","1","#","#","#"
"OS","2","1.630","16","#","#","#","#","""As","1","#","#","#"
"OT","2","2.470","15","#","#","#","#","""Ot","1","#","#","#"
"OUD","3","#","13","#","#","#","#","""ud","1","#","#","#"
"OUI","3","5.510","8","#","#","#","#","""wi","1","#","#","#"
"ousts","5","0.020","7","#","#","#","#","""aUsts","1","#","#","#"
"oyes","4","0.020","9","#","#","#","#","""OIz","1","#","#","#"
"pacts","5","0.180","6","#","#","#","#","p""akts","1","#","#","#"
"paged","5","2.780","11","#","#","#","#","p""edZd","1","#","#","#"
"pah","3","0.240","17","#","#","#","#","p""A","1","#","#","#"
"PAINE","5","2.760","6","#","#","#","#","p""en","1","#","#","#"
"PAK","3","#","17","#","#","#","#","p""ak","1","#","#","#"
"palled","6","0.020","9","#","#","#","#","p""Old","1","#","#","#"
"palls","5","#","16","#","#","#","#","p""Olz","1","#","#","#"
"panned","6","0.330","11","#","#","#","#","p""and","1","#","#","#"
"PAPP","4","#","1","#","#","#","#","p""ap","1","#","#","#"
"pard","4","1.040","14","#","#","#","#","""pArd","1","#","#","#"
"pared","5","0.040","15","#","#","#","#","p""Erd","1","#","#","#"
"pares","5","0.020","25","#","#","#","#","p""Erz","1","#","#","#"
"parr","4","0.270","12","#","#","#","#","p""Ar","1","#","#","#"
